COUNTRY,YEAR,TOTAL POINTS,TRIES SCORED,TRY ASSISTS,SUCCESSFUL PENALTY KICKS,SUCCESSFUL CONVERSIONS,GOAL KICKING %,ATTACKING 22M ENTRIES,POINTS PER 22M ENTRY,CARRIES,METRES CARRIED,TOTAL PASSES,OFFLOADS,LINEBREAKS,KICKS IN PLAY,MADE TACKLE %,TACKLES MADE,TACKLES MISSED,ATTACKING RUCK ARRIVALS,DEFENSIVE RUCK ARRIVALS,BREAKDOWN STEALS,LINEOUT TAKES,LINEOUT STEALS,LINEOUTS WON,SCRUM WIN %,METRES GAINED,% RUCKS 0-3 SECONDS,% RUCKS 4-6 SECONDS,% RUCKS OVER 6 SECONDS
FRANCE,2003,153,17,,14,13,72.97,,,394,2505,826,61,42,154,88.68,705,90,796,75,,,,,81.63,,,,
IRELAND,2003,119,10,,16,6,70.97,,,339,2226.7,675,30,36,184,85.38,683,117,892,44,,,,,70,,,,
ITALY,2003,100,12,,6,8,66.67,,,526,2923.1,783,66,35,116,84.9,669,119,1183,55,,,,,68.83,,,,
WALES,2003,82,10,,5,7,57.14,,,375,2281.4,802,73,43,140,88.72,692,88,868,55,,,,,67.39,,,,
SCOTLAND,2003,81,7,,12,5,77.27,,,406,2510.3,730,53,31,128,86.79,762,116,850,48,,,,,71.43,,,,
ENGLAND,2004,150,17,,15,10,78.13,,,484,2056.1,788,55,35,132,87.95,591,81,1000,68,,,,,73.21,,,,
FRANCE,2004,144,14,,18,10,73.68,,,436,1499.2,862,65,50,140,89.01,680,84,957,51,,,,,78.85,,,,
IRELAND,2004,128,17,,7,11,62.07,,,396,1605,658,43,37,136,87.98,732,100,990,48,,,,,64,,,,
WALES,2004,125,14,,13,8,65.63,,,413,1686.7,842,59,49,118,88.17,790,106,892,83,,,,,68.06,,,,
SCOTLAND,2004,53,4,,7,3,71.43,,,487,1700.3,830,46,25,145,86.02,646,105,1024,63,,,,,71.01,,,,
ITALY,2004,42,2,,9,1,71.43,,,396,2007,597,29,19,135,83.91,892,171,976,89,,,,,69.12,,,,
WALES,2005,151,17,,12,12,70.59,,,397,1497.4,734,66,45,145,87.11,804,119,1087,162,,,,,68.42,,,,
FRANCE,2005,134,13,,14,9,69.7,,,319,1658.4,685,54,49,124,86.62,641,99,928,106,,,,,77.55,,,,
IRELAND,2005,126,12,,14,9,74.19,,,282,959,540,43,29,150,89.21,620,75,857,100,,,,,60.29,,,,
ENGLAND,2005,121,16,,6,10,51.61,,,476,3030,807,53,50,138,87.13,474,70,1368,107,,,,,68.42,,,,
SCOTLAND,2005,84,8,,12,4,69.57,,,444,1515.5,755,63,30,149,83.64,629,123,1167,158,,,,,79.49,,,,
ITALY,2005,55,5,,8,3,50,,,350,1972.8,556,42,13,165,83.16,632,128,1063,107,,,,,67.27,,,,
FRANCE,2006,148,18,,12,11,65.71,,,351,2402.3,702,45,50,182,86.62,725,112,1124,355,,,,,89.8,,,,
IRELAND,2006,131,12,,17,10,75,,,469,2054.6,820,68,65,136,88.8,634,80,1332,298,,,,,69.7,,,,
ENGLAND,2006,120,12,,14,9,71.88,,,500,1849.7,749,71,60,130,84.43,461,85,1383,210,,,,,55,,,,
WALES,2006,80,9,,7,7,77.78,,,442,1653.7,799,93,53,144,86.61,621,96,1116,328,,,,,77.61,,,,
SCOTLAND,2006,78,5,,13,4,94.44,,,335,1068.4,601,60,34,155,88.39,731,96,1020,310,,,,,69.49,,,,
ITALY,2006,72,5,,10,4,66.67,,,244,1524.1,530,23,27,163,85.29,777,134,909,340,,,,,72.22,,,,
FRANCE,2007,155,15,,18,13,83.78,19,1,449,1821.7,702,56,48,132,88.14,795,107,1431,267,,,,,78,,,,
IRELAND,2007,149,17,,14,11,73.53,,,426,2766.8,696,69,42,134,89.59,654,76,1177,291,,,,,63.38,,,,
ENGLAND,2007,119,10,,17,6,76.67,7,2,403,1717,626,39,39,123,87.18,571,84,1418,290,,,,,72.58,,,,
SCOTLAND,2007,95,7,,16,6,91.67,,,511,1202,660,60,43,93,89.62,725,84,1309,258,,,,,77.59,,,,
ITALY,2007,94,9,,9,8,70.83,,,375,1604.6,592,36,24,145,86.46,760,119,1219,342,,,,,60,,,,
WALES,2007,86,7,,12,6,81.82,4,5.25,346,1302.5,591,57,39,126,87.61,799,113,1107,370,,,,,57.69,,,,
WALES,2008,148,13,,19,13,88.89,12,2.92,490,1561.4,723,55,50,140,89.67,738,85,1557,237,,,,,77.08,,,,
ENGLAND,2008,108,8,,16,7,79.31,,,373,556.7,543,42,29,122,87.99,762,104,1280,287,,,,,59.18,,,,
FRANCE,2008,103,11,,10,9,73.08,6,3.17,487,1413.1,769,66,42,116,90.86,736,74,1347,204,,,,,67.24,,,,
IRELAND,2008,93,9,,12,6,78.26,5,,382,1398.3,636,40,33,117,88.66,790,101,1228,292,,,,,68.89,,,,
ITALY,2008,74,6,,11,4,71.43,14,4.14,350,558.5,593,25,25,132,87.1,783,116,1207,266,,,,,66.22,,,,
SCOTLAND,2008,69,3,,15,3,94.74,7,2,477,1136.5,662,70,31,143,89.27,749,90,1307,248,,,,,61.67,,,,
ENGLAND,2009,124,16,,6,10,59.26,,,493,2753.9,801,56,45,168,90.25,805,87,1315,268,,,,,51.92,,,,
FRANCE,2009,124,14,,12,6,58.06,,,496,3086.8,704,53,49,134,89.78,659,75,1380,262,,,,,83.33,,,,
IRELAND,2009,121,12,,10,11,75,,,474,1110.9,590,24,34,172,85.98,650,106,1511,255,,,,,62.07,,,,
WALES,2009,100,8,,17,3,64.52,,,466,2784.7,663,47,39,145,89.41,853,101,1316,210,,,,,70.83,,,,
